#id	length
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3275/ccs	710
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3284/ccs	868
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3341/ccs	1638
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3351/ccs	477
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3354/ccs	889
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3381/ccs	1187
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3385/ccs	891
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3386/ccs	595
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3460/ccs	883
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3474/ccs	653
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3528/ccs	506
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3587/ccs	563
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3590/ccs	1154
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3618/ccs	886
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3619/ccs	803
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3659/ccs	897
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3672/ccs	775
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3728/ccs	346
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3730/ccs	849
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3838/ccs	560
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3852/ccs	610
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3888/ccs	1156
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3955/ccs	956
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/3974/ccs	888
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/4000/ccs	457
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/4064/ccs	1156
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/4161/ccs	885
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/4197/ccs	1392
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/4269/ccs	1413
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/4317/ccs	585
